i,j,w
25495854,25495697,65.734
25495854,25496100,39.503
25495854,25496623,104.684
25495857,269550332,11.695
25495857,25495838,31.581
25495857,4689775161,18.266
25495858,25495819,38.054
25495858,25495640,4.569
25495858,4275398720,75.16799999999999
25496100,25495852,35.058
25496100,25495854,39.503
25496100,759123955,16.495
25496617,269550896,18.274
25496617,4689775161,34.241
25496617,269550684,21.073999999999998
25496622,107693,9.269
25496622,26374236,38.54
25496622,107692,57.432
25496623,323262310,20.733
25496623,25495854,104.684
25496623,7223695325,23.704
25496624,5736692333,58.26
25496624,108391,29.999
25496624,25495698,30.726
25496748,21583342,21.094
25496750,8972511963,43.962
25496750,1816038195,43.148
25496773,7279228683,11.744
25496773,25496750,51.912
25496777,8972511964,3.64
25496777,663363473,22.123
25496781,25496783,114.25199999999998
25496781,2453947049,109.48100000000001
25496783,25496781,114.252
25496783,8972441125,67.86999999999999
