"","V1","V2","weight","height","size1","size1mean","size1norm","lccrank"
"213","L4_82546","L5_67633",200,1400,32242,66604.3793103448,0.484082283084834,9
"214","L4_49745","L5_42057",200,1400,31177,66604.3793103448,0.468092343518884,9
"215","L4_197557","L5_166044",200,1400,30897,66604.3793103448,0.463888415745677,9
"216","L4_35543","L5_27383",200,1400,30539,66604.3793103448,0.458513393807076,9
"217","L4_302695","L5_255695",200,1400,29888,66604.3793103448,0.448739261734369,9
"218","L4_293599","L5_247755",200,1400,29882,66604.3793103448,0.4486491775678,9
"219","L4_242396","L5_206493",200,1400,29868,66604.3793103448,0.44843898117914,9
"220","L4_136270","L5_113142",200,1400,29856,66604.3793103448,0.448258812846002,9
"221","L4_48986","L5_41482",200,1400,29661,66604.3793103448,0.445331077432518,9
"222","L4_95884","L5_79036",200,1400,29295,66604.3793103448,0.439835943271826,9
"223","L4_77962","L5_63812",200,1400,28638,66604.3793103448,0.42997172703255,9
"224","L4_106877","L5_88002",200,1400,27960,66604.3793103448,0.419792216210283,9
"225","L4_328670","L5_276879",200,1400,27519,66604.3793103448,0.413171029967482,9
"226","L4_245127","L5_208791",200,1400,26957,66604.3793103448,0.404733146365544,9
"227","L4_104582","L5_86161",200,1400,26860,66604.3793103448,0.403276785672683,9
"228","L4_255282","L5_216666",200,1400,25566,66604.3793103448,0.38384863374936,9
"229","L4_255338","L5_216666",200,1400,25487,66604.3793103448,0.382662525556205,9
"230","L4_91022","L5_74967",200,1400,25394,66604.3793103448,0.38126622097439,9
"231","L4_55419","L5_46495",200,1400,24682,66604.3793103448,0.370576233208234,9
"232","L4_45422","L5_38675",200,1400,24629,66604.3793103448,0.369780489736877,9
"233","L4_330360","L5_275382",200,1400,23814,66604.3793103448,0.357544057111291,9
"234","L4_300099","L5_253494",200,1400,23714,66604.3793103448,0.356042654335145,9
"235","L4_356356","L5_283124",200,1400,22850,66604.3793103448,0.343070534349248,9
